Paradigm,Condition,Percent,variable,mean_value,sd_value,se_value
Passive,PPC 90,40,Hetero,0.126400524594595,0.0188851427579914,0.00713791303022825
Passive,PPC 90,60,Homo,0.129381593531975,0.0128731177500017,0.00486558116636511
Passive,PPC 90,60,Hetero,0.123975861489694,0.0154110946217206,0.00582484625719397
Passive,PPC 90,100,Homo,0.129276774303032,0.0157100426521925,0.00593783799198843
Passive,PPC 90,100,Hetero,0.123207690568762,0.014863355466121,0.00561782031590123
Passive,PPC 135,0,Homo,0.0233082823647612,0.0220243755866946,0.00832443151198233
Passive,PPC 135,0,Hetero,0.0310735006898932,0.0318610071643592,0.0120423287824202
Passive,PPC 135,10,Homo,0.0990729615291311,0.0450418114249953,0.0170242045186294
Passive,PPC 135,10,Hetero,0.0933640439125582,0.0427056775253949,0.0161412289003879
Passive,PPC 135,20,Homo,0.111729469148305,0.0365947030310095,0.0138314976460447
Passive,PPC 135,20,Hetero,0.102225756146473,0.0248735870783852,0.00940133223193097
Passive,PPC 135,40,Homo,0.121359204438694,0.0188508791487729,0.0071249626032266
Passive,PPC 135,40,Hetero,0.109576017226689,0.0149398055900029,0.00564671574668574
Passive,PPC 135,60,Homo,0.128513765407872,0.0122777076847317,0.00464053731482097
Passive,PPC 135,60,Hetero,0.11026988218043,0.0169878203061624,0.00642079254959413
Passive,PPC 135,100,Homo,0.13262083387639,0.0155856413617308,0.00589081872379741
Passive,PPC 135,100,Hetero,0.110841301838017,0.014181793441458,0.00536021408442639
